Timestamp,Record number,Average Water Speed,Average Water Direction,Chlorophyll,Chlorophyll [quality],Temperature,Temperature [quality],Dissolved Oxygen,Dissolved Oxygen [quality],Dissolved Oxygen (%Saturation),Dissolved Oxygen (%Saturation) [quality],pH,pH [quality],Salinity,Salinity [quality],Specific Conductance,Specific Conductance [quality],Turbidity,Turbidity [quality]
2023-08-25 13:00:00,2468,4.736,48.895,2.142,1020.0,20.836,1020.0,7.661,1020.0,105.508,1020.0,8.111,1020.0,35.569,1020.0,53.744,1020.0,2.494,1020.0
2023-08-25 13:30:00,2469,6.298,34.864,2.006,1020.0,20.998,1020.0,7.732,1020.0,106.798,1020.0,8.111,1020.0,35.561,1020.0,53.735,1020.0,2.773,1020.0
2023-08-25 14:00:00,2470,2.304,338.942,2.455,1020.0,20.988,1020.0,7.724,1020.0,106.669,1020.0,8.11,1020.0,35.563,1020.0,53.738,1020.0,3.175,1020.0
2023-08-25 14:30:00,2471,3.054,327.638,2.935,1020.0,21.052,1020.0,7.787,1020.0,107.667,1020.0,8.113,1020.0,35.564,1020.0,53.74,1020.0,2.639,1020.0
2023-08-25 15:00:00,2472,3.45,41.375,3.165,1020.0,21.061,1020.0,7.802,1020.0,107.892,1020.0,8.112,1020.0,35.564,1020.0,53.74,1020.0,2.932,1020.0
2023-08-25 15:30:00,2473,7.326,98.087,3.218,1020.0,21.173,1020.0,7.807,1020.0,108.165,1020.0,8.114,1020.0,35.566,1020.0,53.744,1020.0,3.341,1020.0
2023-08-25 16:00:00,2474,5.248,128.556,3.061,1020.0,21.2,1020.0,7.762,1020.0,107.598,1020.0,8.112,1020.0,35.558,1020.0,53.734,1020.0,3.18,1020.0
2023-08-25 16:30:00,2475,3.392,169.003,3.083,1020.0,21.17,1020.0,7.8,1020.0,108.064,1020.0,8.116,1020.0,35.558,1020.0,53.733,1020.0,2.959,1020.0
2023-08-25 17:00:00,2476,6.899,69.171,2.878,1020.0,21.098,1020.0,7.871,1020.0,108.919,1020.0,8.123,1020.0,35.573,1020.0,53.752,1020.0,2.809,1020.0
2023-08-25 17:30:00,2477,2.841,124.537,2.995,1020.0,21.024,1020.0,7.853,1020.0,108.514,1020.0,8.121,1020.0,35.568,1020.0,53.744,1020.0,2.602,1020.0
2023-08-25 18:00:00,2478,6.936,65.138,3.202,1020.0,20.988,1020.0,7.784,1020.0,107.501,1020.0,8.118,1020.0,35.569,1020.0,53.746,1020.0,2.729,1020.0
2023-08-25 18:30:00,2479,7.117,94.356,3.483,1020.0,20.952,1020.0,7.745,1020.0,106.888,1020.0,8.116,1020.0,35.57,1020.0,53.747,1020.0,2.933,1020.0
2023-08-25 19:00:00,2480,9.168,88.078,3.595,1020.0,20.93,1020.0,7.688,1020.0,106.066,1020.0,8.114,1020.0,35.571,1020.0,53.748,1020.0,2.813,1020.0
2023-08-25 19:30:00,2481,5.588,173.32,3.815,1020.0,20.88,1020.0,7.635,1020.0,105.244,1020.0,8.113,1020.0,35.571,1020.0,53.748,1020.0,2.913,1020.0
2023-08-25 20:00:00,2482,8.062,95.925,3.87,1020.0,20.811,1020.0,7.595,1020.0,104.559,1020.0,8.112,1020.0,35.572,1020.0,53.748,1020.0,2.592,1020.0
2023-08-25 20:30:00,2483,5.174,104.629,4.117,1020.0,20.816,1020.0,7.571,1020.0,104.236,1020.0,8.111,1020.0,35.571,1020.0,53.747,1020.0,2.578,1020.0
2023-08-25 21:00:00,2484,3.23,160.399,4.026,1020.0,20.782,1020.0,7.382,1020.0,101.573,1020.0,8.111,1020.0,35.569,1020.0,53.743,1020.0,2.569,1020.0
2023-08-25 21:30:00,2485,4.991,217.28,4.525,1020.0,20.762,1020.0,7.338,1020.0,100.928,1020.0,8.111,1020.0,35.572,1020.0,53.748,1020.0,3.153,1020.0
2023-08-25 22:00:00,2486,1.31,266.007,3.637,1020.0,20.732,1020.0,7.133,1020.0,98.06,1020.0,8.107,1020.0,35.567,1020.0,53.741,1020.0,2.469,1020.0
2023-08-25 22:30:00,2487,1.819,179.367,5.756,1020.0,20.724,1020.0,7.007,1020.0,96.316,1020.0,8.109,1020.0,35.568,1020.0,53.742,1020.0,4.386,1020.0
